Date,Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Ecommerce Conversion Rate,Transactions,Avg. Order Value,Revenue
20170226,Social,"5,690","3,704","6,022",10.05%,6.2,0:03:08,0.08%,5,R$599.26,"R$2,996.32"
20170227,(Other),"17,980","13,514","19,842",26.21%,2.71,0:01:37,0.17%,34,R$377.91,"R$12,848.99"
20170227,Direct,"85,438","38,485","99,932",21.11%,5.58,0:05:17,2.42%,"2,418",R$524.13,"R$1,267,356.66"
20170227,Display,"11,937","5,232","15,674",44.84%,3.33,0:03:00,0.81%,127,R$496.87,"R$63,101.93"
20170227,Organic Search,"47,039","20,143","56,870",16.60%,6.34,0:06:05,2.05%,"1,164",R$532.05,"R$619,303.81"
20170227,Paid Search,"38,525","17,450","52,496",20.57%,5.5,0:06:09,3.07%,"1,611",R$640.39,"R$1,031,671.57"
20170227,Referral,"15,115","4,940","18,451",15.70%,5.72,0:05:14,3.09%,571,R$640.82,"R$365,906.37"
20170227,Social,"5,416","3,210","5,723",10.99%,6.06,0:03:08,0.16%,9,"R$1,075.09","R$9,675.78"
20170228,(Other),"20,682","13,646","22,744",22.98%,3.49,0:02:11,0.39%,88,R$339.36,"R$29,863.28"
20170228,Direct,"96,328","42,856","111,690",20.55%,5.73,0:05:22,2.47%,"2,764",R$515.60,"R$1,425,114.63"
20170228,Display,"12,757","5,880","16,982",41.67%,3.42,0:02:53,0.74%,126,R$428.41,"R$53,979.51"
20170228,Organic Search,"56,790","24,766","68,180",15.79%,6.46,0:06:10,2.20%,"1,500",R$546.78,"R$820,171.99"
20170228,Paid Search,"42,380","19,412","57,440",21.40%,5.46,0:06:08,3.09%,"1,775",R$646.13,"R$1,146,882.25"
20170228,Referral,"16,597","5,585","20,186",16.02%,5.74,0:05:25,3.29%,665,R$584.47,"R$388,670.70"
20170228,Social,"5,812","3,700","6,141",11.14%,5.94,0:03:10,0.21%,13,R$485.10,"R$6,306.31"
20170301,(Other),"9,794","2,840","11,394",18.57%,5.13,0:03:57,0.92%,105,R$482.86,"R$50,700.04"
20170301,Direct,"125,109","49,819","148,936",18.34%,5.62,0:05:37,2.49%,"3,711",R$569.91,"R$2,114,951.18"
20170301,Display,"18,279","8,409","27,836",23.72%,4.28,0:03:06,0.66%,185,R$490.42,"R$90,727.14"
20170301,Organic Search,"78,304","34,411","94,578",15.23%,6.23,0:06:14,2.22%,"2,100",R$598.42,"R$1,256,679.56"
20170301,Paid Search,"55,289","25,481","74,360",18.51%,5.48,0:06:07,2.87%,"2,136",R$651.81,"R$1,392,260.50"
20170301,Referral,"24,819","7,570","29,775",14.97%,5.68,0:05:34,3.44%,"1,024",R$643.28,"R$658,721.84"
20170301,Social,987,461,"1,096",16.42%,5.85,0:04:05,0.64%,7,R$469.74,"R$3,288.20"
20170302,(Other),"5,549","1,653","6,438",20.92%,4.86,0:04:06,1.06%,68,R$420.58,"R$28,599.51"
20170302,Direct,"125,742","48,978","152,912",17.95%,5.41,0:05:31,2.38%,"3,633",R$614.12,"R$2,231,104.58"
20170302,Display,"10,549","3,315","14,531",30.51%,4.11,0:03:35,1.15%,167,R$473.32,"R$79,044.36"
20170302,Organic Search,"76,662","33,941","92,114",15.51%,6.05,0:06:11,2.26%,"2,078",R$628.81,"R$1,306,664.63"
20170302,Paid Search,"60,939","27,754","81,564",17.08%,5.4,0:05:56,2.68%,"2,182",R$725.33,"R$1,582,680.85"
20170302,Referral,"25,070","7,341","30,494",14.86%,5.64,0:05:39,3.23%,985,R$656.76,"R$646,906.71"
20170302,Social,"1,081",568,"1,211",22.79%,5.6,0:03:45,0.74%,9,R$459.18,"R$4,132.62"
20170303,(Other),"10,178","5,366","10,910",20.13%,4.12,0:02:45,0.45%,49,R$535.40,"R$26,234.59"
20170303,Direct,"123,442","46,836","148,514",18.41%,5.39,0:05:36,2.71%,"4,025",R$578.37,"R$2,327,928.60"
20170303,Display,"11,565","4,031","15,876",38.75%,3.58,0:03:10,1.05%,167,R$556.44,"R$92,925.36"
